feature_set,train_frac,model,n_splits,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,precision_at_20_mean,precision_at_20_std,precision_at_50_mean,precision_at_50_std,precision_at_100_mean,precision_at_100_std
principled_expression,0.7,ensemble,20,0.7905876494023906,0.043432925202874534,0.5272398062817859,0.08138689089143285,0.48500000000000004,0.0828759377179624,0.248,0.035183728296502424,0.15450000000000003,0.012343760409722461
principled_expression,0.7,logreg,20,0.7459262948207172,0.04503529516810702,0.2900146459663426,0.0677142289207493,0.32,0.0894427190999916,0.21400000000000005,0.03733208017946918,0.14250000000000002,0.012926920095594879
principled_expression,0.7,rf,20,0.7994571713147411,0.04651202438606272,0.5289588802394909,0.08020305236744309,0.4950000000000001,0.07591546545162484,0.265,0.02964704653791087,0.15150000000000002,0.014244112357114614
principled_expression,0.7,xgb,20,0.775398406374502,0.029269385506905554,0.4971068480984808,0.05453516088346898,0.4525,0.061718802048612305,0.24300000000000002,0.026969768650335724,0.14700000000000002,0.009787209698591854
principled_expression,0.8,ensemble,20,0.7825064157399486,0.07032001243149542,0.5450258175461877,0.09559677438935031,0.385,0.07089651464968985,0.19200000000000003,0.029307803882601853,0.1135,0.011367080817685315
principled_expression,0.8,logreg,20,0.7536569717707442,0.0585730922914515,0.3382357192509438,0.08539069102792632,0.3125,0.0646346004779744,0.17600000000000002,0.027984958365822918,0.11250000000000002,0.012926920095594879
principled_expression,0.8,rf,20,0.7985885372112917,0.06915105288732531,0.5463549775909964,0.10670134577069827,0.38,0.05938279034765616,0.20200000000000004,0.03427443423464876,0.11750000000000001,0.012513150976809204
principled_expression,0.8,xgb,20,0.765333618477331,0.06434999905498001,0.4930734932553083,0.0971994448354886,0.3324999999999999,0.07122056178557308,0.19300000000000003,0.022734161635370634,0.11400000000000002,0.010462967275611938
principled_expression,0.9,ensemble,20,0.7885204081632653,0.11185128148969238,0.5275646372715375,0.1789512492297866,0.23249999999999998,0.06340139463848773,0.11400000000000003,0.021618705350983248,0.07692307692307691,1.4238309865648918e-17
principled_expression,0.9,logreg,20,0.761904761904762,0.10175547884406576,0.3571234324265819,0.1468124786031149,0.22000000000000003,0.06766791978789544,0.11400000000000003,0.016026294183720636,0.07692307692307691,1.4238309865648918e-17
principled_expression,0.9,rf,20,0.8201955782312925,0.09788596171097057,0.5578124863327536,0.19544883139370708,0.255,0.06261830907633123,0.12000000000000002,0.014509525002200237,0.07692307692307691,1.4238309865648918e-17
principled_expression,0.9,xgb,20,0.780187074829932,0.0987749772759747,0.49890613975567766,0.17316862496382585,0.225,0.057353933467640436,0.11500000000000002,0.015727950313140986,0.07692307692307691,1.4238309865648918e-17
